"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"35","@ets_conference #ETS15 - ETS highlights local Mobile Loaves and Fishes homeless project Community First! http://t.co/AHdCZTA3SW",FALSE,2,"ets_conference",2015-03-25 23:46:37,FALSE,NA,"580878482256736256","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",2,FALSE,FALSE,NA,NA
"36","@ets_conference @UtilitySolar @ieeesmartgrid - Danielle Murray, solar mgr at AE, on new community solar project. http://t.co/1KMDGdF832",FALSE,0,"ets_conference",2015-03-25 21:41:33,FALSE,NA,"580847009155850240","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"37","@ets_conference @UtilitySolar @SEIA - Future of Renewable Energy panel w/ RES, Austin Energy, GM, etc. explore solar. http://t.co/krZq0B9y8t",FALSE,0,"ets_conference",2015-03-25 21:23:25,FALSE,NA,"580842445379792896","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",1,FALSE,FALSE,NA,NA
"38","Attend @ets_conference our CTO is a panelist - Sustainability &amp; Automation in the Cloud session http://t.co/pYxNsWzXut",FALSE,1,NA,2015-03-25 21:22:39,FALSE,NA,"580842251837812736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NDimension1",0,FALSE,FALSE,NA,NA
"39","@ets_conference @UtilitySolar - ""The solution is we need both centralized and distributed energy."" - Brad Jones ERCOT http://t.co/wfajEYTG51",FALSE,0,"ets_conference",2015-03-25 20:44:23,FALSE,NA,"580832621728382976","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"40","RT @postfossilcom: @ets_conference @ieeesmartgrid @UtilitySolar ""We need visibility with solar resources."" - Brad Jones ERCOT http://t.co/b…",FALSE,0,NA,2015-03-25 20:27:24,FALSE,NA,"580828349196550144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ieeesmartgrid",1,TRUE,FALSE,NA,NA
"41","RT @postfossilcom: @ets_conference #ETS15 @ieeesmartgrid ""You gotta control this speed of light product."" - Phillip G. Harris at ETS15 http…",FALSE,0,NA,2015-03-25 20:27:19,FALSE,NA,"580828330372571136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ieeesmartgrid",1,TRUE,FALSE,NA,NA
"42","RT @postfossilcom: #ETS15 @ets_conference @SmartGridArch @ieeesmartgrid ETS15 Super Grid Panel explores solar integration onto grid. http:/…",FALSE,0,NA,2015-03-25 20:27:06,FALSE,NA,"580828274466619393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ieeesmartgrid",1,TRUE,FALSE,NA,NA
"43","Quick tweet from @ets_conference - great event! Dr. Goodenough spoke earlier- what a treat. @zpryme_research #ETS15 http://t.co/1vSMyLCCH8",FALSE,1,NA,2015-03-25 20:23:48,FALSE,NA,"580827444191490048",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","arnoldjon",0,FALSE,FALSE,NA,NA
"44","@ets_conference @UtilitySolar - ""Permitting of local resources is huge obstacle and needs to be streamlined.""",FALSE,0,"ets_conference",2015-03-25 20:22:59,FALSE,NA,"580827237756227584","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"45","@ets_conference @ieeesmartgrid @UtilitySolar ""We need visibility with solar resources."" - Brad Jones ERCOT http://t.co/bLLtA1LW4g",FALSE,0,"ets_conference",2015-03-25 20:20:14,FALSE,NA,"580826545020932098","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",1,FALSE,FALSE,NA,NA
"46","@ets_conference #ETS15 @ieeesmartgrid ""You gotta control this speed of light product."" - Phillip G. Harris at ETS15 http://t.co/i8cvNc3bCc",FALSE,0,"ets_conference",2015-03-25 20:12:55,FALSE,NA,"580824703197052928","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",1,FALSE,FALSE,NA,NA
"47","#ETS15 @ets_conference @SmartGridArch @ieeesmartgrid ETS15 Super Grid Panel explores solar integration onto grid. http://t.co/vqO39RfKHF",FALSE,0,NA,2015-03-25 19:58:50,FALSE,NA,"580821161761599488",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",1,FALSE,FALSE,NA,NA
"48","ITC's Oginsky@ets_conference: Modernize transmission infrastructure to resolve uncertainties about future energy delivery #ETS15 #grid",FALSE,0,NA,2015-03-25 19:35:17,FALSE,NA,"580815233398243328",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ITCGrid",0,FALSE,FALSE,NA,NA
"49","@ets_conference #ETS15 IEEE Smart Grid head Dr. S. Massoud Amin  describes the Smart City of 2020. http://t.co/6VImdZweZr",FALSE,0,"ets_conference",2015-03-25 19:32:05,FALSE,NA,"580814430851600384","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"50","@ets_conference #ETS15 ""It's time to finally merge Tesla and Edison."" - Dr. Massoud Amin",FALSE,0,"ets_conference",2015-03-25 19:16:05,FALSE,NA,"580810402080002048","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"51","RT @FinoConsulting: Looking forward to sharing ideas about the future of energy at @ets_conference today! #ETS2015 http://t.co/QVutvJdl2J",FALSE,0,NA,2015-03-25 19:12:03,FALSE,NA,"580809387972890624",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","richardfye",1,TRUE,FALSE,NA,NA
"52",".@ets_conference loved hearing scientist/inventor Dr. Goodenough recommend cultivating spirituality &amp; studying poetry. He was so great!",FALSE,0,NA,2015-03-25 19:11:19,FALSE,NA,"580809202156736512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ErinAutin",0,FALSE,FALSE,NA,NA
"53","@ets_conference ETS15 Chairman Andres Carvallo listens to Dr. S. Massoud Amin speak on Electric Grid 2020. http://t.co/uRzOGfNCQJ",FALSE,0,"ets_conference",2015-03-25 19:09:09,FALSE,NA,"580808657203433472","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"54","RT @greenfernevents: ""Why am I here? I'm here because we have an energy problem"" John B. Goodenough (Inventor of the Lithium Ion Battery) @…",FALSE,0,NA,2015-03-25 19:08:03,FALSE,NA,"580808381516107776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seranyamoodley",6,TRUE,FALSE,NA,NA
"55","RT @smartenergystr: Drivers of Disruption 2020 Outlook Dr. Massoud Amin @ets_conference #ETS15",FALSE,0,NA,2015-03-25 19:04:13,FALSE,NA,"580807415781662720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greenfernevents",1,TRUE,FALSE,NA,NA
"56","RT @greenfernevents: ""Why am I here? I'm here because we have an energy problem"" John B. Goodenough (Inventor of the Lithium Ion Battery) @…",FALSE,0,NA,2015-03-25 19:03:53,FALSE,NA,"580807331614744577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SparkplugPower",6,TRUE,FALSE,NA,NA
"57","RT @greenfernevents: ""Why am I here? I'm here because we have an energy problem"" John B. Goodenough (Inventor of the Lithium Ion Battery) @…",FALSE,0,NA,2015-03-25 19:03:33,FALSE,NA,"580807247523000320",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siemens_SG",6,TRUE,FALSE,NA,NA
"58","@ets_conference Dr. S. Massoud Amin speaks to ETS15 in Austin today. http://t.co/zZhED5Q8yy",FALSE,0,"ets_conference",2015-03-25 19:02:03,FALSE,NA,"580806871776243713","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"59","RT @greenfernevents: ""Why am I here? I'm here because we have an energy problem"" John B. Goodenough (Inventor of the Lithium Ion Battery) @…",FALSE,0,NA,2015-03-25 19:01:16,FALSE,NA,"580806672001552384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PattyDurandSGCC",6,TRUE,FALSE,NA,NA
"60","Drivers of Disruption 2020 Outlook Dr. Massoud Amin @ets_conference #ETS15",FALSE,0,NA,2015-03-25 19:00:53,FALSE,NA,"580806576136568832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smartenergystr",1,FALSE,FALSE,NA,NA
"61","""Why am I here? I'm here because we have an energy problem"" John B. Goodenough (Inventor of the Lithium Ion Battery) @ets_conference #ETS15",FALSE,1,NA,2015-03-25 18:59:59,FALSE,NA,"580806350847913984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greenfernevents",6,FALSE,FALSE,NA,NA
